id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
20651,60,26,34,164,179,62,68,47,53,44,0,0
30550,17,9,8,197,65,62,74,50,63,36,217,193
86156,53,31,22,268,108,58,69,51,60,41,0,0
79692,63,43,20,296,203,60,72,49,64,42,0,0
44990,72,44,28,154,180,68,64,50,58,46,0,0
14959,63,29,34,221,229,56,67,48,55,38,0,0
33904,54,27,27,143,285,60,69,45,57,43,194,185
29673,53,26,27,203,153,58,70,51,64,39,0,0
30496,62,38,24,86,85,64,64,49,57,45,0,0
51966,73,43,30,60,176,71,61,48,56,51,0,0
37486,81,54,27,200,131,63,68,53,59,44,0,0
10813,61,38,23,251,167,55,73,52,63,45,0,0
59356,52,31,21,304,131,59,73,50,62,38,0,0
30230,66,42,24,184,304,59,68,50,58,49,0,0
84556,61,37,24,101,164,68,63,49,57,48,0,0
69561,41,27,14,155,106,56,71,50,63,42,0,0
20655,54,25,29,291,168,62,69,47,62,40,0,0
25539,46,28,18,271,110,60,72,50,64,43,0,0
44979,61,33,28,111,146,65,65,53,59,39,0,0
48011,70,39,31,295,388,60,67,42,56,43,0,0
83554,69,39,30,502,287,56,73,47,61,43,0,0
66662,60,33,27,378,209,55,73,44,57,39,0,0
86619,58,31,27,63,207,60,62,47,58,48,0,0
91530,76,48,28,183,152,60,65,51,59,45,0,0
34539,30,13,17,54,127,61,63,45,47,47,206,176
86083,70,42,28,331,174,61,69,50,59,41,0,0
31562,59,31,28,290,128,62,70,50,64,41,0,0
23259,62,35,27,150,263,70,65,44,53,45,0,0
81114,64,38,26,61,154,67,61,51,61,48,0,0
21631,65,45,20,121,60,63,64,54,60,51,0,0
50386,62,32,30,153,120,67,65,52,63,44,0,0
40605,72,38,34,374,111,59,71,49,59,41,0,0
52968,43,25,18,109,159,60,66,49,58,43,0,0
46474,69,35,34,416,384,60,70,45,62,44,0,0
85844,61,31,30,262,220,65,67,47,56,42,0,0
79065,32,18,14,94,59,65,68,49,59,41,0,0
18398,35,19,16,88,67,61,66,51,58,44,200,172
26909,60,37,23,247,175,59,70,48,52,45,0,0
34352,64,36,28,434,141,61,72,48,59,42,0,0
60951,56,35,21,262,148,65,69,48,63,44,0,0
48825,66,37,29,372,153,61,74,51,65,35,0,0
74880,70,43,27,510,152,62,71,51,57,41,0,0
37047,43,33,10,61,158,65,65,47,53,45,0,0
62722,57,29,28,183,138,64,63,46,54,50,0,0
30104,57,32,25,230,192,60,68,51,62,42,0,0
34844,69,36,33,145,293,62,65,44,55,45,0,0
29905,52,32,20,74,108,66,63,50,54,43,0,0
40382,57,34,23,83,180,61,65,50,57,49,0,0
54208,67,41,26,244,139,59,72,52,59,37,0,0
67981,20,13,7,97,92,56,73,50,58,32,0,0
69574,41,29,12,218,98,61,71,50,64,41,0,0
55985,73,47,26,144,165,67,64,51,57,48,0,0
81601,63,37,26,185,245,58,67,47,59,45,0,0
69729,55,29,26,133,258,61,66,46,55,42,0,0
36114,51,24,27,185,160,56,66,49,58,40,0,0
59993,52,30,22,111,106,59,66,52,58,43,0,0
67703,35,25,10,209,117,63,70,51,66,43,0,0
12662,22,13,9,232,61,59,77,50,65,32,0,0
9403,57,29,28,123,82,68,64,49,60,45,0,0
47528,66,42,24,258,212,53,71,51,61,44,0,0
30971,73,46,27,273,146,62,67,48,57,47,0,0
