id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
63657,1,0,1,3,16,39,64,36,53,40,0,0
63672,1,0,1,7,3,57,67,48,42,33,0,0
63750,11,7,4,48,21,60,67,50,59,50,0,0
63836,2,0,2,3,4,56,57,38,54,40,0,0
64062,17,7,10,14,89,57,57,44,48,45,0,0
64148,7,2,5,0,35,63,47,36,35,53,0,0
64526,3,0,3,0,16,50,53,39,30,30,0,0
64527,4,1,3,0,35,58,52,33,51,38,0,0
64623,3,1,2,4,16,61,44,38,22,70,0,0
64693,14,3,11,16,74,58,55,37,44,46,0,0
64701,1,0,1,2,5,41,57,45,20,40,0,0
64818,9,3,6,3,41,70,51,36,46,48,0,0
64820,6,3,3,11,12,66,59,52,61,48,0,0
64939,3,0,3,0,25,62,49,33,44,55,0,0
65082,2,0,2,1,7,60,54,40,30,22,0,0
65173,16,7,9,8,57,76,57,38,50,40,0,0
65270,1,0,1,1,10,31,50,9,25,0,0,0
65302,4,1,3,1,3,76,50,51,52,62,0,0
65303,10,3,7,1,19,70,50,41,48,47,0,0
65305,6,0,6,1,39,54,38,28,33,65,0,0
65311,10,5,5,4,27,67,53,42,43,50,0,0
65315,11,5,6,12,29,64,58,41,50,54,0,0
65420,1,0,1,4,6,52,77,36,58,54,0,0
65437,11,5,6,13,25,61,60,47,54,38,0,0
65443,10,4,6,4,32,60,56,44,42,41,0,0
65451,3,0,3,0,13,59,36,30,30,100,0,0
65456,32,11,21,11,45,64,53,44,45,55,0,0
65461,17,6,11,29,117,59,58,38,48,47,0,0
65464,1,0,1,0,5,50,51,35,45,25,0,0
65606,2,1,1,9,9,64,66,42,66,75,0,0
65787,1,0,1,0,5,51,42,23,50,0,0,0
65913,3,0,3,0,15,44,48,26,43,75,0,0
65914,7,1,6,3,17,68,50,44,37,42,0,0
65915,16,8,8,43,182,55,63,35,45,49,0,0
65919,26,11,15,45,145,61,56,41,51,49,0,0
65926,6,1,5,6,16,58,49,46,50,47,0,0
66050,1,0,1,0,5,56,48,31,44,0,0,0
66057,15,11,4,48,72,56,63,49,48,50,0,0
66179,28,14,14,8,68,69,58,47,52,49,0,0
66328,10,4,6,7,32,69,55,39,47,47,0,0
